"조회기간","시도","시군구","용도업종(소)","판매량"
"2016-10","서울특별시","마포구","순수써비스","99010640"
"2016-10","서울특별시","마포구","전철","1115984"
"2016-10","서울특별시","마포구","기타공공용","7870518"
"2016-10","서울특별시","마포구","국군용","17450"
"2016-10","서울특별시","서대문구","가정용","31436711"
"2016-10","서울특별시","서대문구","의복.모피","322937"
"2016-10","서울특별시","서대문구","섬유","66218"
"2016-10","서울특별시","서대문구","식료품제조","265399"
"2016-10","서울특별시","서대문구","재생재료","21671"
"2016-10","서울특별시","서대문구","가구및기타","19247"
"2016-10","서울특별시","서대문구","자동차","4949"
"2016-10","서울특별시","서대문구","의료.광학","33503"
"2016-10","서울특별시","서대문구","영상.음향","7054"
"2016-10","서울특별시","서대문구","전기기기","712"
"2016-10","서울특별시","서대문구","시멘트","3451"
"2016-10","서울특별시","서대문구","유리","2391"
"2016-10","서울특별시","서대문구","고무.플라","61207"
"2016-10","서울특별시","서대문구","화학제품","4226"
"2016-10","서울특별시","서대문구","가죽.신발","31954"
"2016-10","서울특별시","서대문구","사무기기","3097"
"2016-10","서울특별시","서대문구","기타기계","14656"
"2016-10","서울특별시","서대문구","조립금속","5494"
"2016-10","서울특별시","서대문구","1차금속","828"
"2016-10","서울특별시","서대문구","출판.인쇄","417922"
"2016-10","서울특별시","서대문구","펄프.종이","22273"
"2016-10","서울특별시","서대문구","목재.나무","652"
"2016-10","서울특별시","서대문구","금속비금속","333"
"2016-10","서울특별시","서대문구","관공용","2249118"
"2016-10","서울특별시","서대문구","수도","1014582"
"2016-10","서울특별시","서대문구","사업자용","36824"
"2016-10","서울특별시","서대문구","농업.임업","4258"
"2016-10","서울특별시","서대문구","순수써비스","36585146"
"2016-10","서울특별시","서대문구","기타공공용","19110050"
"2016-10","서울특별시","서대문구","국군용","97528"
"2016-10","서울특별시","서초구","가정용","50620202"
"2016-10","서울특별시","서초구","시멘트","9330"
"2016-10","서울특별시","서초구","유리","3285"
"2016-10","서울특별시","서초구","고무.플라","2869"
"2016-10","서울특별시","서초구","화학제품","36757"
"2016-10","서울특별시","서초구","가죽.신발","30238"
"2016-10","서울특별시","서초구","의복.모피","39805"
"2016-10","서울특별시","서초구","사무기기","6025"
"2016-10","서울특별시","서초구","기타기계","2981"
"2016-10","서울특별시","서초구","조립금속","18752"
"2016-10","서울특별시","서초구","1차금속","9469"
"2016-10","서울특별시","서초구","출판.인쇄","53353"
"2016-10","서울특별시","서초구","펄프.종이","47799"
"2016-10","서울특별시","서초구","목재.나무","198"
"2016-10","서울특별시","서초구","금속비금속","5560"
"2016-10","서울특별시","서초구","농업.임업","201140"
"2016-10","서울특별시","서초구","섬유","27155"
"2016-10","서울특별시","서초구","음료품제조","8438"
"2016-10","서울특별시","서초구","식료품제조","270677"
"2016-10","서울특별시","서초구","가구및기타","71305"
"2016-10","서울특별시","서초구","기타운송","393"
"2016-10","서울특별시","서초구","자동차","11345"
"2016-10","서울특별시","서초구","의료.광학","30873"
"2016-10","서울특별시","서초구","영상.음향","2738"
"2016-10","서울특별시","서초구","전기기기","2280"
"2016-10","서울특별시","서초구","관공용","5980234"
"2016-10","서울특별시","서초구","수도","2414028"
"2016-10","서울특별시","서초구","사업자용","1150073"
"2016-10","서울특별시","서초구","순수써비스","149944517"
"2016-10","서울특별시","서초구","전철","43934464"
"2016-10","서울특별시","서초구","기타공공용","8023546"
"2016-10","서울특별시","서초구","국군용","707198"
"2016-10","서울특별시","성동구","가정용","30266584"
"2016-10","서울특별시","성동구","식료품제조","3586649"
"2016-10","서울특별시","성동구","재생재료","769"
"2016-10","서울특별시","성동구","가구및기타","479715"
"2016-10","서울특별시","성동구","기타운송","307"
"2016-10","서울특별시","성동구","자동차","240203"
"2016-10","서울특별시","성동구","의료.광학","655866"
"2016-10","서울특별시","성동구","영상.음향","4363367"
"2016-10","서울특별시","성동구","전기기기","267877"
"2016-10","서울특별시","성동구","사무기기","7417"
"2016-10","서울특별시","성동구","기타기계","1438382"
"2016-10","서울특별시","성동구","조립금속","1103543"
"2016-10","서울특별시","성동구","1차금속","232020"
"2016-10","서울특별시","성동구","출판.인쇄","4410521"
"2016-10","서울특별시","성동구","펄프.종이","553217"
"2016-10","서울특별시","성동구","목재.나무","77649"
"2016-10","서울특별시","성동구","금속비금속","22371"
"2016-10","서울특별시","성동구","농업.임업","3142"
"2016-10","서울특별시","성동구","시멘트","485904"
"2016-10","서울특별시","성동구","유리","151460"
"2016-10","서울특별시","성동구","고무.플라","400411"
"2016-10","서울특별시","성동구","화학제품","15054953"
"2016-10","서울특별시","성동구","석유정제","270117"
"2016-10","서울특별시","성동구","가죽.신발","711546"
"2016-10","서울특별시","성동구","의복.모피","2071603"
"2016-10","서울특별시","성동구","섬유","1065404"
"2016-10","서울특별시","성동구","음료품제조","79917"
"2016-10","서울특별시","성동구","관공용","17862682"
"2016-10","서울특별시","성동구","수도","3354907"
"2016-10","서울특별시","성동구","사업자용","264415"
"2016-10","서울특별시","성동구","순수써비스","49632959"
"2016-10","서울특별시","성동구","전철","429151"
"2016-10","서울특별시","성동구","기타공공용","5339499"
"2016-10","서울특별시","성동구","국군용","14005"
"2016-10","서울특별시","성북구","가정용","43603841"
"2016-10","서울특별시","성북구","시멘트","5390"
"2016-10","서울특별시","성북구","유리","1863"
"2016-10","서울특별시","성북구","고무.플라","219820"
"2016-10","서울특별시","성북구","화학제품","64730"
"2016-10","서울특별시","성북구","가죽.신발","99289"
"2016-10","서울특별시","성북구","의복.모피","1446050"
"2016-10","서울특별시","성북구","섬유","939044"
"2016-10","서울특별시","성북구","식료품제조","438010"
"2016-10","서울특별시","성북구","가구및기타","60312"
"2016-10","서울특별시","성북구","기타운송","1616"
"2016-10","서울특별시","성북구","자동차","10618"
"2016-10","서울특별시","성북구","의료.광학","41522"
"2016-10","서울특별시","성북구","영상.음향","10855"
"2016-10","서울특별시","성북구","전기기기","1696"
"2016-10","서울특별시","성북구","사무기기","814"
"2016-10","서울특별시","성북구","기타기계","144102"
"2016-10","서울특별시","성북구","조립금속","15283"
"2016-10","서울특별시","성북구","1차금속","24096"
"2016-10","서울특별시","성북구","출판.인쇄","76521"
"2016-10","서울특별시","성북구","펄프.종이","15791"
"2016-10","서울특별시","성북구","목재.나무","15582"
"2016-10","서울특별시","성북구","어업","4270"
"2016-10","서울특별시","성북구","금속비금속","542"
"2016-10","서울특별시","성북구","관공용","1227373"
"2016-10","서울특별시","성북구","수도","1531370"
"2016-10","서울특별시","성북구","사업자용","91576"
"2016-10","서울특별시","성북구","농업.임업","17234"
"2016-10","서울특별시","성북구","순수써비스","41914166"
"2016-10","서울특별시","성북구","기타공공용","13870931"
"2016-10","서울특별시","성북구","국군용","43637"
"2016-10","서울특별시","송파구","가정용","63756089"
"2016-10","서울특별시","송파구","섬유","196908"
"2016-10","서울특별시","송파구","식료품제조","748833"
"2016-10","서울특별시","송파구","재생재료","49145"
"2016-10","서울특별시","송파구","가구및기타","165629"
"2016-10","서울특별시","송파구","자동차","59763"
"2016-10","서울특별시","송파구","의료.광학","50316"
"2016-10","서울특별시","송파구","영상.음향","22520"
